"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"nfl","200K+","July 31, 2025 at 6:00:00 AM UTC+5:30",,"nfl,nfl preseason,lions,detroit lions,lions vs chargers,chargers,lions game,chargers vs lions,nfl hall of fame game 2025,preseason nfl,nfl hall of fame game,nfl game,hof game,chargers depth chart,lions schedule 2025,dj uiagalelei,lions depth chart,football tonight,nfl hall of fame inductees 2025,detroit lions schedule","https://trends.google.com/trends/explore?q=nfl&geo=US&hl=en-US"
"fc seoul vs barcelona","100K+","July 31, 2025 at 3:40:00 PM UTC+5:30",,"fc seoul vs barcelona,barcelona,barcelona vs,fc seoul vs. barcelona,barca vs,barcelona vs seoul,barcelona fc,fc seoul vs fc barcelona,fc seoul vs fc barcelona lineups,barca game","https://trends.google.com/trends/explore?q=fc%20seoul%20vs%20barcelona&geo=US&hl=en-US"
"arsenal vs tottenham","100K+","July 31, 2025 at 3:30:00 PM UTC+5:30",,"arsenal vs tottenham,arsenal - tottenham,arsenal,tottenham,club friendlies,tottenham hotspur,arsenal f.c,where to watch arsenal f.c. vs tottenham,arsenal tottenham,arsenal fc,tottenham vs arsenal,arsenal f.c. vs tottenham,spursplay,how to watch arsenal vs tottenham","https://trends.google.com/trends/explore?q=arsenal%20vs%20tottenham&geo=US&hl=en-US"
"mercury vs fever","100K+","July 31, 2025 at 3:30:00 AM UTC+5:30",,"mercury vs fever,aari mcdonald,fever game,where to watch phoenix mercury vs indiana fever,fever vs mercury,fever score,kelsey mitchell,aliyah boston,fever game tonight,indiana fever games,phoenix mercury vs indiana fever match player stats,indiana fever game,indiana fever game today,where to watch indiana fever vs phoenix mercury,wnba league pass","https://trends.google.com/trends/explore?q=mercury%20vs%20fever&geo=US&hl=en-US"
"harrison bader","50K+","July 31, 2025 at 10:20:00 PM UTC+5:30",,"harrison bader,phillies trade,hendry mendez,geremy villoria,bader,harrison bader trade,mlb top prospects,phillies news,phillies trades,mlb prospect rankings,phillies rumors","https://trends.google.com/trends/explore?q=harrison%20bader&geo=US&hl=en-US"
"mason miller","50K+","July 31, 2025 at 1:00:00 AM UTC+5:30",,"mason miller,jp sears,leodalis de vries,padres trade,aj preller,robert suarez,jp sears baseball,padres prospects,de vries,eduarniel nunez,henry baez,padres trades,padres news,padres schedule,j.p. sears,mariners top 30 prospects,padres game today","https://trends.google.com/trends/explore?q=mason%20miller&geo=US&hl=en-US"
"steven matz","50K+","July 31, 2025 at 9:10:00 AM UTC+5:30",,"steven matz,blaze jordan,red sox news,red sox trade,steven matz trade,steve matz","https://trends.google.com/trends/explore?q=steven%20matz&geo=US&hl=en-US"
"mlb trade rumors","50K+","July 31, 2025 at 12:40:00 AM UTC+5:30",,"mlb trade rumors,trade deadline mlb,mlb trade tracker,mlb trade deadline time,cubs trade rumors,when is mlb trade deadline,trade deadline,mets trade,padres trade rumors,phillies game today,al east standings,yankees news,mariners news,mlb trades 2025,cubs schedule,mlb prospect rankings,red sox rumors,mariners trade news","https://trends.google.com/trends/explore?q=mlb%20trade%20rumors&geo=US&hl=en-US"
"nfl schedule","20K+","July 31, 2025 at 6:10:00 AM UTC+5:30",,"nfl schedule,nfl games today,nfl schedule 2025,nfl preseason schedule 2025","https://trends.google.com/trends/explore?q=nfl%20schedule&geo=US&hl=en-US"
"ramon urias","20K+","July 31, 2025 at 8:30:00 AM UTC+5:30",,"ramon urias,twine palmer,orioles,astros trade,orioles trade,ramon urias trade,twine palmer astros","https://trends.google.com/trends/explore?q=ramon%20urias&geo=US&hl=en-US"
