"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"khal stephen","20K+","July 31, 2025 at 7:00:00 PM UTC+5:30",,"khal stephen,shane bieber contract,blue jays top prospects,shane bieber trade,blue jays prospects,shane bieber injury,bieber","https://trends.google.com/trends/explore?q=khal%20stephen&geo=US&hl=en-US"
"cubs trade","20K+","July 31, 2025 at 7:30:00 AM UTC+5:30",,"cubs trade,michael soroka,mike soroka,soroka,christian franklin,cubs news,ronny cruz,michael soroka stats,mike soroka contract,ronny cruz cubs,christian franklin cubs,michael soroka contract","https://trends.google.com/trends/explore?q=cubs%20trade&geo=US&hl=en-US"
"karun nair","20K+","July 31, 2025 at 11:00:00 PM UTC+5:30",,"karun nair,ind vs eng,india vs england,india national cricket team vs england cricket team match scorecard,eng vs ind,gus atkinson,india cricket","https://trends.google.com/trends/explore?q=karun%20nair&geo=US&hl=en-US"
"brock stewart","10K+","July 31, 2025 at 10:50:00 PM UTC+5:30",,"brock stewart,brock stewart trade,mlb top 100 prospects,dodgers trade,top 100 mlb prospects","https://trends.google.com/trends/explore?q=brock%20stewart&geo=US&hl=en-US"
"kyle finnegan","10K+","July 31, 2025 at 10:00:00 PM UTC+5:30",,"kyle finnegan,mlb trade,kyle finnegan trade,mariners trade","https://trends.google.com/trends/explore?q=kyle%20finnegan&geo=US&hl=en-US"
"wyndham championship","10K+","July 31, 2025 at 4:00:00 PM UTC+5:30",,"wyndham championship,wyndham championship picks","https://trends.google.com/trends/explore?q=wyndham%20championship&geo=US&hl=en-US"
"perth glory vs milan","10K+","July 31, 2025 at 3:20:00 PM UTC+5:30",,"perth glory vs milan","https://trends.google.com/trends/explore?q=perth%20glory%20vs%20milan&geo=US&hl=en-US"
"mike tyson","10K+","July 31, 2025 at 9:20:00 AM UTC+5:30",,"mike tyson","https://trends.google.com/trends/explore?q=mike%20tyson&geo=US&hl=en-US"
"vans old skool 36 souvenir warm brown","10K+","July 31, 2025 at 9:00:00 PM UTC+5:30",,"vans old skool 36 souvenir warm brown,vans old skool 36 souvenir,vans souvenir","https://trends.google.com/trends/explore?q=vans%20old%20skool%2036%20souvenir%20warm%20brown&geo=US&hl=en-US"
"paul sewald","10K+","July 31, 2025 at 7:20:00 PM UTC+5:30",,"paul sewald","https://trends.google.com/trends/explore?q=paul%20sewald&geo=US&hl=en-US"
"sandy alcantara","5K+","July 31, 2025 at 10:10:00 AM UTC+5:30",,"sandy alcantara,miami marlins","https://trends.google.com/trends/explore?q=sandy%20alcantara&geo=US&hl=en-US"
"football games today","5K+","July 31, 2025 at 6:50:00 PM UTC+5:30",,"football games today,college football,preseason football schedule,college football schedule","https://trends.google.com/trends/explore?q=football%20games%20today&geo=US&hl=en-US"
"lincoln financial field","5K+","July 31, 2025 at 1:20:00 AM UTC+5:30",,"lincoln financial field","https://trends.google.com/trends/explore?q=lincoln%20financial%20field&geo=US&hl=en-US"
"luis robert jr","5K+","July 31, 2025 at 4:40:00 AM UTC+5:30",,"luis robert jr,luis robert,chicago white sox","https://trends.google.com/trends/explore?q=luis%20robert%20jr&geo=US&hl=en-US"
"football","5K+","July 31, 2025 at 7:10:00 AM UTC+5:30",,"football","https://trends.google.com/trends/explore?q=football&geo=US&hl=en-US"
"david bednar","5K+","July 31, 2025 at 4:30:00 AM UTC+5:30",,"david bednar","https://trends.google.com/trends/explore?q=david%20bednar&geo=US&hl=en-US"
"cedric mullins","5K+","July 31, 2025 at 12:00:00 AM UTC+5:30",,"cedric mullins","https://trends.google.com/trends/explore?q=cedric%20mullins&geo=US&hl=en-US"
"american dream mall","5K+","July 31, 2025 at 3:30:00 AM UTC+5:30",,"american dream mall","https://trends.google.com/trends/explore?q=american%20dream%20mall&geo=US&hl=en-US"
"mlb rumors","5K+","July 31, 2025 at 1:30:00 AM UTC+5:30",,"mlb rumors,yankee standings,padres standings,mariners standings","https://trends.google.com/trends/explore?q=mlb%20rumors&geo=US&hl=en-US"
"rays - yankees","5K+","July 31, 2025 at 4:30:00 AM UTC+5:30",,"rays - yankees,rays vs yankees prediction,rays,yankees vs rays prediction,tampa bay rays,yankee","https://trends.google.com/trends/explore?q=rays%20-%20yankees&geo=US&hl=en-US"
"mackenzie gore","2K+","July 31, 2025 at 9:30:00 PM UTC+5:30",,"mackenzie gore","https://trends.google.com/trends/explore?q=mackenzie%20gore&geo=US&hl=en-US"
"kwan","2K+","July 31, 2025 at 7:20:00 PM UTC+5:30",,"kwan,guardians trade","https://trends.google.com/trends/explore?q=kwan&geo=US&hl=en-US"
"aig women's open 2025","2K+","July 31, 2025 at 5:00:00 PM UTC+5:30",,"aig women's open 2025,nelly korda,lpga","https://trends.google.com/trends/explore?q=aig%20women%27s%20open%202025&geo=US&hl=en-US"
"nfl game today","2K+","July 31, 2025 at 7:30:00 PM UTC+5:30",,"nfl game today","https://trends.google.com/trends/explore?q=nfl%20game%20today&geo=US&hl=en-US"
"cody rhodes","2K+","July 31, 2025 at 10:10:00 AM UTC+5:30",,"cody rhodes,aew","https://trends.google.com/trends/explore?q=cody%20rhodes&geo=US&hl=en-US"
"yankees game","2K+","July 31, 2025 at 4:50:00 AM UTC+5:30",,"yankees game,yankee game","https://trends.google.com/trends/explore?q=yankees%20game&geo=US&hl=en-US"
"giancarlo stanton","1K+","July 31, 2025 at 11:10:00 PM UTC+5:30",,"giancarlo stanton","https://trends.google.com/trends/explore?q=giancarlo%20stanton&geo=US&hl=en-US"
"tank jones","1K+","July 31, 2025 at 10:30:00 PM UTC+5:30",,"tank jones,anthony tank jones","https://trends.google.com/trends/explore?q=tank%20jones&geo=US&hl=en-US"
"ryan pepiot","1K+","July 31, 2025 at 10:20:00 PM UTC+5:30",,"ryan pepiot","https://trends.google.com/trends/explore?q=ryan%20pepiot&geo=US&hl=en-US"
"nba 2k26","1K+","July 31, 2025 at 8:30:00 PM UTC+5:30",,"nba 2k26","https://trends.google.com/trends/explore?q=nba%202k26&geo=US&hl=en-US"
"lorenzo musetti","1K+","July 31, 2025 at 10:30:00 PM UTC+5:30",,"lorenzo musetti,alex michelsen","https://trends.google.com/trends/explore?q=lorenzo%20musetti&geo=US&hl=en-US"
"joe ryan","1K+","July 31, 2025 at 9:20:00 PM UTC+5:30",,"joe ryan","https://trends.google.com/trends/explore?q=joe%20ryan&geo=US&hl=en-US"
"ryan o'hearn","1K+","July 31, 2025 at 11:10:00 PM UTC+5:30",,"ryan o'hearn,orioles score","https://trends.google.com/trends/explore?q=ryan%20o%27hearn&geo=US&hl=en-US"
"edward cabrera","500+","July 31, 2025 at 10:40:00 PM UTC+5:30",,"edward cabrera","https://trends.google.com/trends/explore?q=edward%20cabrera&geo=US&hl=en-US"
"yandy diaz","500+","July 31, 2025 at 11:30:00 PM UTC+5:30",,"yandy diaz","https://trends.google.com/trends/explore?q=yandy%20diaz&geo=US&hl=en-US"
"ben rice","500+","July 31, 2025 at 11:20:00 PM UTC+5:30",,"ben rice","https://trends.google.com/trends/explore?q=ben%20rice&geo=US&hl=en-US"
"spencer jones","500+","July 31, 2025 at 11:10:00 PM UTC+5:30",,"spencer jones","https://trends.google.com/trends/explore?q=spencer%20jones&geo=US&hl=en-US"
"max kepler","500+","July 31, 2025 at 11:00:00 PM UTC+5:30",,"max kepler","https://trends.google.com/trends/explore?q=max%20kepler&geo=US&hl=en-US"
"shakhtar donetsk vs beşiktaş","500+","July 31, 2025 at 11:00:00 PM UTC+5:30",,"shakhtar donetsk vs beşiktaş","https://trends.google.com/trends/explore?q=shakhtar%20donetsk%20vs%20be%C5%9Fikta%C5%9F&geo=US&hl=en-US"
"latavius murray","500+","July 31, 2025 at 10:50:00 PM UTC+5:30",,"latavius murray","https://trends.google.com/trends/explore?q=latavius%20murray&geo=US&hl=en-US"
"yahoo fantasy football","500+","July 31, 2025 at 11:20:00 PM UTC+5:30",,"yahoo fantasy football,fantasy football rankings","https://trends.google.com/trends/explore?q=yahoo%20fantasy%20football&geo=US&hl=en-US"
