"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"lyme disease","200K+","July 31, 2025 at 10:10:00 PM UTC+5:30",,"lyme disease,lyme disease symptoms,justin timberlake,justin timberlake lyme disease,lymes disease,lyme.disease,lime disease","https://trends.google.com/trends/explore?q=lyme%20disease&geo=US&hl=en-US"
"leanne netflix","20K+","July 31, 2025 at 8:20:00 PM UTC+5:30",,"leanne netflix,leanne morgan netflix,cast of leanne,chuck lorre","https://trends.google.com/trends/explore?q=leanne%20netflix&geo=US&hl=en-US"
"ksoo","20K+","July 31, 2025 at 10:40:00 PM UTC+5:30",,"ksoo,ksoo rapper","https://trends.google.com/trends/explore?q=ksoo&geo=US&hl=en-US"
"marilyn manson","20K+","August 1, 2025 at 12:20:00 AM UTC+5:30",,"marilyn manson,rob zombie","https://trends.google.com/trends/explore?q=marilyn%20manson&geo=US&hl=en-US"
"the subway chappell roan","10K+","August 1, 2025 at 5:10:00 AM UTC+5:30",,"the subway chappell roan,the subway,subway chappell roan","https://trends.google.com/trends/explore?q=the%20subway%20chappell%20roan&geo=US&hl=en-US"
"leanne cast","10K+","August 1, 2025 at 2:00:00 AM UTC+5:30",,"leanne cast,tim daly","https://trends.google.com/trends/explore?q=leanne%20cast&geo=US&hl=en-US"
"chief of war","10K+","July 31, 2025 at 6:10:00 PM UTC+5:30",,"chief of war,chief of war review","https://trends.google.com/trends/explore?q=chief%20of%20war&geo=US&hl=en-US"
"eisenberg of the social network","10K+","August 1, 2025 at 8:20:00 AM UTC+5:30",,"eisenberg of the social network,the social network,eisenberg,jesse eisenberg,eisenberg social network,jeremy strong,mark zuckerberg","https://trends.google.com/trends/explore?q=eisenberg%20of%20the%20social%20network&geo=US&hl=en-US"
"and just like that season 3","10K+","August 1, 2025 at 6:10:00 AM UTC+5:30",,"and just like that season 3,and just like that,and just like that episodes","https://trends.google.com/trends/explore?q=and%20just%20like%20that%20season%203&geo=US&hl=en-US"
"bobbi althoff","5K+","August 1, 2025 at 1:20:00 AM UTC+5:30",,"bobbi althoff","https://trends.google.com/trends/explore?q=bobbi%20althoff&geo=US&hl=en-US"
"jane austen","5K+","July 31, 2025 at 11:00:00 PM UTC+5:30",,"jane austen","https://trends.google.com/trends/explore?q=jane%20austen&geo=US&hl=en-US"
"wednesday cast","5K+","August 1, 2025 at 5:00:00 AM UTC+5:30",,"wednesday cast,wednesday,catherine zeta jones","https://trends.google.com/trends/explore?q=wednesday%20cast&geo=US&hl=en-US"
"flaco jimenez","2K+","August 1, 2025 at 9:40:00 AM UTC+5:30",,"flaco jimenez","https://trends.google.com/trends/explore?q=flaco%20jimenez&geo=US&hl=en-US"
"whats august 1st","2K+","August 1, 2025 at 6:10:00 AM UTC+5:30",,"whats august 1st","https://trends.google.com/trends/explore?q=whats%20august%201st&geo=US&hl=en-US"
"metro boomin","2K+","August 1, 2025 at 9:30:00 AM UTC+5:30",,"metro boomin","https://trends.google.com/trends/explore?q=metro%20boomin&geo=US&hl=en-US"
"renee rapp","2K+","August 1, 2025 at 9:00:00 AM UTC+5:30",,"renee rapp","https://trends.google.com/trends/explore?q=renee%20rapp&geo=US&hl=en-US"
"jinkx monsoon","2K+","August 1, 2025 at 6:20:00 AM UTC+5:30",,"jinkx monsoon,jk rowling","https://trends.google.com/trends/explore?q=jinkx%20monsoon&geo=US&hl=en-US"
"outside lands 2025","2K+","August 1, 2025 at 6:50:00 AM UTC+5:30",,"outside lands 2025,outside lands","https://trends.google.com/trends/explore?q=outside%20lands%202025&geo=US&hl=en-US"
"spider man brand new day","2K+","August 1, 2025 at 12:10:00 PM UTC+5:30",,"spider man brand new day,tom holland","https://trends.google.com/trends/explore?q=spider%20man%20brand%20new%20day&geo=US&hl=en-US"
"august 1","1K+","August 1, 2025 at 9:30:00 AM UTC+5:30",,"august 1","https://trends.google.com/trends/explore?q=august%201&geo=US&hl=en-US"
"hard summer","500+","August 1, 2025 at 10:30:00 AM UTC+5:30",,"hard summer","https://trends.google.com/trends/explore?q=hard%20summer&geo=US&hl=en-US"
"gigi hadid","500+","August 1, 2025 at 8:40:00 AM UTC+5:30",,"gigi hadid","https://trends.google.com/trends/explore?q=gigi%20hadid&geo=US&hl=en-US"
"mariah the scientist","500+","August 1, 2025 at 9:30:00 AM UTC+5:30",,"mariah the scientist,kali uchis","https://trends.google.com/trends/explore?q=mariah%20the%20scientist&geo=US&hl=en-US"
