"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"kingdom","100K+","July 31, 2025 at 12:10:00 PM UTC+5:30",,"kingdom,hd","https://trends.google.com/trends/explore?q=kingdom&geo=IN&hl=en-US"
"vijay deverakonda kingdom movie review","50K+","July 31, 2025 at 8:30:00 AM UTC+5:30",,"vijay deverakonda kingdom movie review,kingdom rating,kingdom movie rating,kingdom collection,kingdom budget,kingdom movie budget,greatandhra,kingdom movie review telugu,123telugu,kingdom vijay deverakonda movie review,greatandhra telugu,kingdom telugu movie review","https://trends.google.com/trends/explore?q=vijay%20deverakonda%20kingdom%20movie%20review&geo=IN&hl=en-US"
"nita ambani","10K+","July 31, 2025 at 1:00:00 PM UTC+5:30",,"nita ambani","https://trends.google.com/trends/explore?q=nita%20ambani&geo=IN&hl=en-US"
"dhadak 2","10K+","July 31, 2025 at 1:10:00 PM UTC+5:30",,"dhadak 2,dhadak 2 reviews","https://trends.google.com/trends/explore?q=dhadak%202&geo=IN&hl=en-US"
"younes zarou","5K+","July 31, 2025 at 7:30:00 PM UTC+5:30",,"younes zarou,noel robinson,indian videos","https://trends.google.com/trends/explore?q=younes%20zarou&geo=IN&hl=en-US"
"smriti irani","2K+","July 31, 2025 at 10:40:00 PM UTC+5:30",,"smriti irani,amar upadhyay,kyunki saas bhi kabhi bahu thi season 2","https://trends.google.com/trends/explore?q=smriti%20irani&geo=IN&hl=en-US"
"taran adarsh","1K+","July 31, 2025 at 9:40:00 PM UTC+5:30",,"taran adarsh","https://trends.google.com/trends/explore?q=taran%20adarsh&geo=IN&hl=en-US"
"ms dhoni","500+","July 31, 2025 at 11:20:00 PM UTC+5:30",,"ms dhoni","https://trends.google.com/trends/explore?q=ms%20dhoni&geo=IN&hl=en-US"
"lyme disease","200+","July 31, 2025 at 11:20:00 PM UTC+5:30",,"lyme disease","https://trends.google.com/trends/explore?q=lyme%20disease&geo=IN&hl=en-US"
"1st august 2025","200+","July 31, 2025 at 11:00:00 PM UTC+5:30",,"1st august 2025","https://trends.google.com/trends/explore?q=1st%20august%202025&geo=IN&hl=en-US"
