"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"gus atkinson","100K+","July 31, 2025 at 3:20:00 PM UTC+5:30",,"gus atkinson,karun nair,india vs england,ind vs eng,india national cricket team vs england cricket team match scorecard,eng vs ind,cricinfo,shubman gill,england cricket team,stuart broad,live cricket score,where is the oval cricket ground,oval cricket,live cricket,india cricket,the oval cricket ground","https://trends.google.com/trends/explore?q=gus%20atkinson&geo=GB&hl=en-US"
"fc seoul vs barcelona","50K+","July 31, 2025 at 3:40:00 PM UTC+5:30",,"fc seoul vs barcelona,barca,seoul - barcelona,fc seoul vs fc barcelona,fc seoul vs fc barcelona lineups","https://trends.google.com/trends/explore?q=fc%20seoul%20vs%20barcelona&geo=GB&hl=en-US"
"hibernian vs midtjylland","50K+","July 31, 2025 at 11:30:00 PM UTC+5:30",,"hibernian vs midtjylland,hibs,hibs v midtjylland,hibs fc,partizan belgrade,hibs score,europa league,hibernian fc,hibernian,midtjylland,hibs game,hibs vs midtjylland tv,hibs v midtjylland tv,hibs game on tv,hibs score today live,hibs score today","https://trends.google.com/trends/explore?q=hibernian%20vs%20midtjylland&geo=GB&hl=en-US"
"pakistan vs west indies","20K+","August 1, 2025 at 5:00:00 AM UTC+5:30",,"pakistan vs west indies,pak vs wi,mohammad nawaz,wi vs pak,west indies vs pakistan,pakistan cricket","https://trends.google.com/trends/explore?q=pakistan%20vs%20west%20indies&geo=GB&hl=en-US"
"sporting vs benfica","10K+","August 1, 2025 at 1:20:00 AM UTC+5:30",,"sporting vs benfica,benfica","https://trends.google.com/trends/explore?q=sporting%20vs%20benfica&geo=GB&hl=en-US"
"women's open","10K+","July 31, 2025 at 1:50:00 PM UTC+5:30",,"women's open,aig women's open 2025,aig women's open,nelly korda,porthcawl,royal porthcawl","https://trends.google.com/trends/explore?q=women%27s%20open&geo=GB&hl=en-US"
"louis rees-zammit","5K+","August 1, 2025 at 4:10:00 AM UTC+5:30",,"louis rees-zammit,nfl,rees zammit,louis rees zammit","https://trends.google.com/trends/explore?q=louis%20rees-zammit&geo=GB&hl=en-US"
"joao palhinha","5K+","July 31, 2025 at 7:00:00 PM UTC+5:30",,"joao palhinha,palhinha","https://trends.google.com/trends/explore?q=joao%20palhinha&geo=GB&hl=en-US"
"jamie cureton","5K+","July 31, 2025 at 2:10:00 PM UTC+5:30",,"jamie cureton","https://trends.google.com/trends/explore?q=jamie%20cureton&geo=GB&hl=en-US"
"henrik pedersen","5K+","July 31, 2025 at 3:30:00 PM UTC+5:30",,"henrik pedersen","https://trends.google.com/trends/explore?q=henrik%20pedersen&geo=GB&hl=en-US"
"lfc","5K+","August 1, 2025 at 2:30:00 AM UTC+5:30",,"lfc,liverpool fc shop","https://trends.google.com/trends/explore?q=lfc&geo=GB&hl=en-US"
"chris woakes","5K+","July 31, 2025 at 11:30:00 PM UTC+5:30",,"chris woakes,josh tongue,chris woakes injury,woakes,woakes injury","https://trends.google.com/trends/explore?q=chris%20woakes&geo=GB&hl=en-US"
"tyler dibling","2K+","August 1, 2025 at 12:20:00 AM UTC+5:30",,"tyler dibling","https://trends.google.com/trends/explore?q=tyler%20dibling&geo=GB&hl=en-US"
"paddy lane","2K+","August 1, 2025 at 12:40:00 AM UTC+5:30",,"paddy lane","https://trends.google.com/trends/explore?q=paddy%20lane&geo=GB&hl=en-US"
"liverpool kit","1K+","August 1, 2025 at 4:30:00 AM UTC+5:30",,"liverpool kit,new liverpool kit,liverpool new kit,adidas","https://trends.google.com/trends/explore?q=liverpool%20kit&geo=GB&hl=en-US"
"adam idah","1K+","July 31, 2025 at 12:40:00 PM UTC+5:30",,"adam idah,bbc scottish football","https://trends.google.com/trends/explore?q=adam%20idah&geo=GB&hl=en-US"
"david møller wolfe","1K+","August 1, 2025 at 1:00:00 AM UTC+5:30",,"david møller wolfe,david moller wolfe","https://trends.google.com/trends/explore?q=david%20m%C3%B8ller%20wolfe&geo=GB&hl=en-US"
"cruz azul vs seattle sounders","500+","August 1, 2025 at 10:00:00 AM UTC+5:30",,"cruz azul vs seattle sounders","https://trends.google.com/trends/explore?q=cruz%20azul%20vs%20seattle%20sounders&geo=GB&hl=en-US"
"tom brady","200+","August 1, 2025 at 12:10:00 PM UTC+5:30",,"tom brady","https://trends.google.com/trends/explore?q=tom%20brady&geo=GB&hl=en-US"
"luis díaz","200+","August 1, 2025 at 9:40:00 AM UTC+5:30",,"luis díaz","https://trends.google.com/trends/explore?q=luis%20d%C3%ADaz&geo=GB&hl=en-US"
"vitor reis","200+","August 1, 2025 at 12:50:00 AM UTC+5:30",,"vitor reis","https://trends.google.com/trends/explore?q=vitor%20reis&geo=GB&hl=en-US"
"temple","100+","August 1, 2025 at 11:50:00 AM UTC+5:30",,"temple","https://trends.google.com/trends/explore?q=temple&geo=GB&hl=en-US"
"victor osimhen","100+","August 1, 2025 at 12:10:00 PM UTC+5:30",,"victor osimhen","https://trends.google.com/trends/explore?q=victor%20osimhen&geo=GB&hl=en-US"
"richard kone","100+","August 1, 2025 at 12:00:00 PM UTC+5:30",,"richard kone","https://trends.google.com/trends/explore?q=richard%20kone&geo=GB&hl=en-US"
