"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"shane bieber","50K+","July 31, 2025 at 7:00:00 PM UTC+5:30",,"shane bieber,khal stephen,shane bieber stats,blue jays trade,jays trade,shane bieber injury,jays news,bieber,blue jays trades 2025,shane bieber trade,toronto blue jays trade","https://trends.google.com/trends/explore?q=shane%20bieber&geo=CA&hl=en-US"
"ty france","50K+","August 1, 2025 at 3:30:00 AM UTC+5:30",,"ty france,louis varland,louie varland,alan roden,mlb trade deadline 2025,varland,kendry rojas,varland twins,kendrys rojas,blue jays trades today,minnesota twins","https://trends.google.com/trends/explore?q=ty%20france&geo=CA&hl=en-US"
"nfl","20K+","July 31, 2025 at 4:20:00 PM UTC+5:30",,"nfl,nfl preseason,nfl scores,detroit lions,trey lance,lions,chargers,chargers vs lions,hall of fame game,lions vs chargers,nfl games,nfl hall of fame game,hall of fame game 2025","https://trends.google.com/trends/explore?q=nfl&geo=CA&hl=en-US"
"pakistan vs west indies","10K+","August 1, 2025 at 5:10:00 AM UTC+5:30",,"pakistan vs west indies,pak vs wi,wi vs pak,west indies vs pakistan,mohammad nawaz","https://trends.google.com/trends/explore?q=pakistan%20vs%20west%20indies&geo=CA&hl=en-US"
"cruz azul vs seattle sounders","1K+","August 1, 2025 at 8:00:00 AM UTC+5:30",,"cruz azul vs seattle sounders,cruz azul - seattle sounders,cruz azul","https://trends.google.com/trends/explore?q=cruz%20azul%20vs%20seattle%20sounders&geo=CA&hl=en-US"
