"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"lyme disease","20K+","July 31, 2025 at 10:30:00 PM UTC+5:30",,"lyme disease,justin timberlake,lyme disease symptoms,justin timberlake lyme disease","https://trends.google.com/trends/explore?q=lyme%20disease&geo=CA&hl=en-US"
"chief of war","1K+","August 1, 2025 at 6:40:00 AM UTC+5:30",,"chief of war","https://trends.google.com/trends/explore?q=chief%20of%20war&geo=CA&hl=en-US"
"eisenberg social network","500+","August 1, 2025 at 10:20:00 AM UTC+5:30",,"eisenberg social network,the social network","https://trends.google.com/trends/explore?q=eisenberg%20social%20network&geo=CA&hl=en-US"
"tonga","200+","August 1, 2025 at 9:00:00 AM UTC+5:30",,"tonga","https://trends.google.com/trends/explore?q=tonga&geo=CA&hl=en-US"
"hold my hand jess glynne","200+","August 1, 2025 at 3:10:00 AM UTC+5:30",,"hold my hand jess glynne,guardian","https://trends.google.com/trends/explore?q=hold%20my%20hand%20jess%20glynne&geo=CA&hl=en-US"
